Date,Open,High,Low,Close,Adj Close,Volume
3/1/2012,1258.859985,1284.619995,1258.859985,1277.060059,1277.060059,3943710000
4/1/2012,1277.030029,1278.72998,1268.099976,1277.300049,1277.300049,3592580000
5/1/2012,1277.300049,1283.050049,1265.26001,1281.060059,1281.060059,4315950000
6/1/2012,1280.930054,1281.839966,1273.339966,1277.810059,1277.810059,3656830000
9/1/2012,1277.829956,1281.98999,1274.550049,1280.699951,1280.699951,3371600000
10/1/2012,1280.77002,1296.459961,1280.77002,1292.079956,1292.079956,4221960000
11/1/2012,1292.02002,1293.800049,1285.410034,1292.47998,1292.47998,3968120000
12/1/2012,1292.47998,1296.819946,1285.77002,1295.5,1295.5,4019890000
13/1/2012,1294.819946,1294.819946,1277.579956,1289.089966,1289.089966,3692370000
17/1/2012,1290.219971,1303,1290.219971,1293.670044,1293.670044,4010490000
18/1/2012,1293.650024,1308.109985,1290.98999,1308.040039,1308.040039,4096160000
19/1/2012,1308.069946,1315.48999,1308.069946,1314.5,1314.5,4465890000
20/1/2012,1314.48999,1315.380005,1309.170044,1315.380005,1315.380005,3912620000
23/1/2012,1315.290039,1322.280029,1309.890015,1316,1316,3770910000
24/1/2012,1315.959961,1315.959961,1306.060059,1314.650024,1314.650024,3693560000
25/1/2012,1314.400024,1328.300049,1307.650024,1326.060059,1326.060059,4410910000
26/1/2012,1326.280029,1333.469971,1313.599976,1318.430054,1318.430054,4522070000
27/1/2012,1318.25,1320.060059,1311.719971,1316.329956,1316.329956,4007380000
30/1/2012,1316.160034,1316.160034,1300.48999,1313.01001,1313.01001,3659010000
31/1/2012,1313.530029,1321.410034,1306.689941,1312.410034,1312.410034,4235550000
1/2/2012,1312.449951,1330.52002,1312.449951,1324.089966,1324.089966,4504360000
2/2/2012,1324.23999,1329.189941,1321.569946,1325.540039,1325.540039,4120920000
3/2/2012,1326.209961,1345.339966,1326.209961,1344.900024,1344.900024,4608550000
6/2/2012,1344.319946,1344.359985,1337.52002,1344.329956,1344.329956,3379700000
7/2/2012,1344.329956,1349.23999,1335.920044,1347.050049,1347.050049,3742460000
8/2/2012,1347.040039,1351,1341.949951,1349.959961,1349.959961,4096730000
9/2/2012,1349.969971,1354.319946,1344.630005,1351.949951,1351.949951,4209890000
10/2/2012,1351.209961,1351.209961,1337.349976,1342.640015,1342.640015,3877580000
13/2/2012,1343.060059,1353.349976,1343.060059,1351.77002,1351.77002,3618040000
14/2/2012,1351.300049,1351.300049,1340.829956,1350.5,1350.5,3889520000
15/2/2012,1350.52002,1355.869995,1340.800049,1343.22998,1343.22998,4080340000
16/2/2012,1342.609985,1359.02002,1341.219971,1358.040039,1358.040039,4108880000
17/2/2012,1358.060059,1363.400024,1357.23999,1361.22998,1361.22998,3717640000
21/2/2012,1361.219971,1367.76001,1358.109985,1362.209961,1362.209961,3795200000
22/2/2012,1362.109985,1362.699951,1355.530029,1357.660034,1357.660034,3633710000
23/2/2012,1357.530029,1364.23999,1352.280029,1363.459961,1363.459961,3786450000
24/2/2012,1363.459961,1368.920044,1363.459961,1365.73999,1365.73999,3505360000
27/2/2012,1365.199951,1371.939941,1354.920044,1367.589966,1367.589966,3648890000
28/2/2012,1367.560059,1373.089966,1365.969971,1372.180054,1372.180054,3579120000
29/2/2012,1372.199951,1378.040039,1363.810059,1365.680054,1365.680054,4482370000
1/3/2012,1365.900024,1376.170044,1365.900024,1374.089966,1374.089966,3919240000
2/3/2012,1374.089966,1374.530029,1366.420044,1369.630005,1369.630005,3283490000
5/3/2012,1369.589966,1369.589966,1359.130005,1364.329956,1364.329956,3429480000
6/3/2012,1363.630005,1363.630005,1340.030029,1343.359985,1343.359985,4191060000
7/3/2012,1343.390015,1354.849976,1343.390015,1352.630005,1352.630005,3580380000
8/3/2012,1352.650024,1368.719971,1352.650024,1365.910034,1365.910034,3543060000
9/3/2012,1365.969971,1374.76001,1365.969971,1370.869995,1370.869995,3639470000
12/3/2012,1370.780029,1373.040039,1366.689941,1371.089966,1371.089966,3081870000
13/3/2012,1371.920044,1396.130005,1371.920044,1395.949951,1395.949951,4386470000
14/3/2012,1395.949951,1399.420044,1389.969971,1394.280029,1394.280029,4502280000
15/3/2012,1394.170044,1402.630005,1392.780029,1402.599976,1402.599976,4271650000
16/3/2012,1402.550049,1405.880005,1401.469971,1404.170044,1404.170044,5163950000
19/3/2012,1404.170044,1414,1402.430054,1409.75,1409.75,3932570000
20/3/2012,1409.589966,1409.589966,1397.680054,1405.52002,1405.52002,3695280000
21/3/2012,1405.52002,1407.75,1400.640015,1402.890015,1402.890015,3573590000
22/3/2012,1402.890015,1402.890015,1388.72998,1392.780029,1392.780029,3740590000
23/3/2012,1392.780029,1399.180054,1386.869995,1397.109985,1397.109985,3472950000
26/3/2012,1397.109985,1416.579956,1397.109985,1416.51001,1416.51001,3576950000
27/3/2012,1416.550049,1419.150024,1411.949951,1412.52002,1412.52002,3513640000
28/3/2012,1412.52002,1413.650024,1397.199951,1405.540039,1405.540039,3892800000
29/3/2012,1405.390015,1405.390015,1391.560059,1403.280029,1403.280029,3832000000
30/3/2012,1403.310059,1410.890015,1401.420044,1408.469971,1408.469971,3676890000
2/4/2012,1408.469971,1422.380005,1404.459961,1419.040039,1419.040039,3572010000
3/4/2012,1418.97998,1419,1404.619995,1413.380005,1413.380005,3822090000
4/4/2012,1413.089966,1413.089966,1394.089966,1398.959961,1398.959961,3938290000
5/4/2012,1398.790039,1401.599976,1392.920044,1398.079956,1398.079956,3303740000
9/4/2012,1397.449951,1397.449951,1378.23999,1382.199951,1382.199951,3468980000
10/4/2012,1382.180054,1383.01001,1357.380005,1358.589966,1358.589966,4631730000
11/4/2012,1358.97998,1374.709961,1358.97998,1368.709961,1368.709961,3743040000
12/4/2012,1368.77002,1388.130005,1368.77002,1387.569946,1387.569946,3618280000
13/4/2012,1387.609985,1387.609985,1369.849976,1370.26001,1370.26001,3631160000
16/4/2012,1370.27002,1379.660034,1365.380005,1369.569946,1369.569946,3574780000
17/4/2012,1369.569946,1392.76001,1369.569946,1390.780029,1390.780029,3456200000
18/4/2012,1390.780029,1390.780029,1383.290039,1385.140015,1385.140015,3463140000
19/4/2012,1385.079956,1390.459961,1370.300049,1376.920044,1376.920044,4180020000
20/4/2012,1376.959961,1387.400024,1376.959961,1378.530029,1378.530029,3833320000
23/4/2012,1378.530029,1378.530029,1358.790039,1366.939941,1366.939941,3654860000
24/4/2012,1366.969971,1375.569946,1366.819946,1371.969971,1371.969971,3617100000
25/4/2012,1372.109985,1391.369995,1372.109985,1390.689941,1390.689941,3998430000
26/4/2012,1390.640015,1402.089966,1387.280029,1399.97998,1399.97998,4034700000
27/4/2012,1400.189941,1406.640015,1397.310059,1403.359985,1403.359985,3645830000
30/4/2012,1403.26001,1403.26001,1394,1397.910034,1397.910034,3574010000
1/5/2012,1397.859985,1415.319946,1395.72998,1405.819946,1405.819946,3807950000
2/5/2012,1405.5,1405.5,1393.920044,1402.310059,1402.310059,3803860000
3/5/2012,1402.319946,1403.069946,1388.709961,1391.569946,1391.569946,4004910000
4/5/2012,1391.51001,1391.51001,1367.959961,1369.099976,1369.099976,3975140000
7/5/2012,1368.790039,1373.910034,1363.939941,1369.579956,1369.579956,3559390000
8/5/2012,1369.160034,1369.160034,1347.75,1363.719971,1363.719971,4261670000
9/5/2012,1363.199951,1363.72998,1343.130005,1354.579956,1354.579956,4288540000
10/5/2012,1354.579956,1365.880005,1354.579956,1357.98999,1357.98999,3727990000
11/5/2012,1358.109985,1365.660034,1348.890015,1353.390015,1353.390015,3869070000
14/5/2012,1351.930054,1351.930054,1336.609985,1338.349976,1338.349976,3688120000
15/5/2012,1338.359985,1344.939941,1328.410034,1330.660034,1330.660034,4114040000
16/5/2012,1330.780029,1341.780029,1324.790039,1324.800049,1324.800049,4280420000
17/5/2012,1324.819946,1326.359985,1304.859985,1304.859985,1304.859985,4664280000
18/5/2012,1305.050049,1312.23999,1291.97998,1295.219971,1295.219971,4512470000
21/5/2012,1295.72998,1316.390015,1295.72998,1315.98999,1315.98999,3786750000
22/5/2012,1316.089966,1328.48999,1310.040039,1316.630005,1316.630005,4123680000
23/5/2012,1316.02002,1320.709961,1296.530029,1318.859985,1318.859985,4108330000
24/5/2012,1318.719971,1324.140015,1310.5,1320.680054,1320.680054,3937670000
25/5/2012,1320.810059,1324.199951,1314.22998,1317.819946,1317.819946,2872660000
29/5/2012,1318.900024,1334.930054,1318.900024,1332.420044,1332.420044,3441640000
30/5/2012,1331.25,1331.25,1310.76001,1313.319946,1313.319946,3534290000
31/5/2012,1313.089966,1319.73999,1298.900024,1310.329956,1310.329956,4557620000
1/6/2012,1309.869995,1309.869995,1277.25,1278.040039,1278.040039,4669350000
4/6/2012,1278.290039,1282.550049,1266.73999,1278.180054,1278.180054,4011960000
5/6/2012,1277.819946,1287.619995,1274.160034,1285.5,1285.5,3403230000
6/6/2012,1285.609985,1315.130005,1285.609985,1315.130005,1315.130005,4268360000
7/6/2012,1316.150024,1329.050049,1312.680054,1314.98999,1314.98999,4258140000
8/6/2012,1314.98999,1325.810059,1307.77002,1325.660034,1325.660034,3497190000
11/6/2012,1325.719971,1335.52002,1307.72998,1308.930054,1308.930054,3537530000
12/6/2012,1309.400024,1324.310059,1306.619995,1324.180054,1324.180054,3442920000
13/6/2012,1324.02002,1327.280029,1310.51001,1314.880005,1314.880005,3506510000
14/6/2012,1314.880005,1333.680054,1314.140015,1329.099976,1329.099976,3687720000
15/6/2012,1329.189941,1343.319946,1329.189941,1342.839966,1342.839966,4401570000
18/6/2012,1342.420044,1348.219971,1334.459961,1344.780029,1344.780029,3259430000
19/6/2012,1344.829956,1363.459961,1344.829956,1357.97998,1357.97998,3815350000
20/6/2012,1358.040039,1361.569946,1346.449951,1355.689941,1355.689941,3695700000
21/6/2012,1355.430054,1358.27002,1324.410034,1325.51001,1325.51001,4094470000
22/6/2012,1325.920044,1337.819946,1325.920044,1335.02002,1335.02002,5271490000
25/6/2012,1334.900024,1334.900024,1309.27002,1313.719971,1313.719971,3501820000
26/6/2012,1314.089966,1324.23999,1310.300049,1319.98999,1319.98999,3412940000
27/6/2012,1320.709961,1334.400024,1320.709961,1331.849976,1331.849976,3286910000
28/6/2012,1331.52002,1331.52002,1313.290039,1329.040039,1329.040039,3969370000
29/6/2012,1330.119995,1362.170044,1330.119995,1362.160034,1362.160034,4590480000
2/7/2012,1362.329956,1366.349976,1355.699951,1365.51001,1365.51001,3301650000
3/7/2012,1365.75,1374.810059,1363.530029,1374.02002,1374.02002,2116390000
5/7/2012,1373.719971,1373.849976,1363.02002,1367.579956,1367.579956,3041520000
6/7/2012,1367.089966,1367.089966,1348.030029,1354.680054,1354.680054,2745140000
9/7/2012,1354.660034,1354.869995,1346.650024,1352.459961,1352.459961,2904860000
10/7/2012,1352.959961,1361.540039,1336.27002,1341.469971,1341.469971,3470600000
11/7/2012,1341.400024,1345,1333.25,1341.449951,1341.449951,3426290000
12/7/2012,1341.290039,1341.290039,1325.410034,1334.76001,1334.76001,3654440000
13/7/2012,1334.810059,1357.699951,1334.810059,1356.780029,1356.780029,3212930000
16/7/2012,1356.5,1357.26001,1348.51001,1353.640015,1353.640015,2862720000
17/7/2012,1353.680054,1365.359985,1345.069946,1363.670044,1363.670044,3566680000
18/7/2012,1363.579956,1375.26001,1358.959961,1372.780029,1372.780029,3642630000
19/7/2012,1373.01001,1380.390015,1371.209961,1376.51001,1376.51001,4043360000
20/7/2012,1376.51001,1376.51001,1362.189941,1362.660034,1362.660034,3925020000
23/7/2012,1362.339966,1362.339966,1337.560059,1350.52002,1350.52002,3717180000
24/7/2012,1350.52002,1351.530029,1329.23999,1338.310059,1338.310059,3891290000
25/7/2012,1338.349976,1343.97998,1331.5,1337.890015,1337.890015,3719170000
26/7/2012,1338.170044,1363.130005,1338.170044,1360.02002,1360.02002,4429300000
27/7/2012,1360.050049,1389.189941,1360.050049,1385.969971,1385.969971,4399010000
30/7/2012,1385.939941,1391.73999,1381.369995,1385.300049,1385.300049,3212060000
31/7/2012,1385.27002,1387.160034,1379.170044,1379.319946,1379.319946,3821570000
1/8/2012,1379.319946,1385.030029,1373.349976,1375.319946,1375.319946,4440920000
2/8/2012,1375.130005,1375.130005,1354.650024,1365,1365,4193740000
3/8/2012,1365.449951,1394.160034,1365.449951,1390.98999,1390.98999,3751170000
6/8/2012,1391.040039,1399.630005,1391.040039,1394.22998,1394.22998,3122050000
7/8/2012,1394.459961,1407.140015,1394.459961,1401.349976,1401.349976,3682490000
8/8/2012,1401.22998,1404.140015,1396.130005,1402.219971,1402.219971,3221790000
9/8/2012,1402.26001,1405.949951,1398.800049,1402.800049,1402.800049,3119610000
10/8/2012,1402.579956,1405.97998,1395.619995,1405.869995,1405.869995,2767980000
13/8/2012,1405.869995,1405.869995,1397.319946,1404.109985,1404.109985,2499990000
14/8/2012,1404.359985,1410.030029,1400.599976,1403.930054,1403.930054,2930900000
15/8/2012,1403.890015,1407.72998,1401.829956,1405.530029,1405.530029,2655750000
16/8/2012,1405.569946,1417.439941,1404.150024,1415.51001,1415.51001,3114100000
17/8/2012,1415.839966,1418.709961,1414.670044,1418.160034,1418.160034,2922990000
20/8/2012,1417.849976,1418.130005,1412.119995,1418.130005,1418.130005,2766320000
21/8/2012,1418.130005,1426.680054,1410.859985,1413.170044,1413.170044,3282950000
22/8/2012,1413.089966,1416.119995,1406.780029,1413.48999,1413.48999,3062690000
23/8/2012,1413.48999,1413.48999,1400.5,1402.079956,1402.079956,3008240000
24/8/2012,1401.98999,1413.459961,1398.040039,1411.130005,1411.130005,2598790000
27/8/2012,1411.130005,1416.170044,1409.109985,1410.439941,1410.439941,2472500000
28/8/2012,1410.439941,1413.630005,1405.589966,1409.300049,1409.300049,2629090000
29/8/2012,1409.319946,1413.949951,1406.569946,1410.48999,1410.48999,2571220000
30/8/2012,1410.079956,1410.079956,1397.01001,1399.47998,1399.47998,2530280000
31/8/2012,1400.069946,1413.089966,1398.959961,1406.579956,1406.579956,2938250000
4/9/2012,1406.540039,1409.310059,1396.560059,1404.939941,1404.939941,3200310000
5/9/2012,1404.939941,1408.810059,1401.25,1403.439941,1403.439941,3389110000
6/9/2012,1403.73999,1432.119995,1403.73999,1432.119995,1432.119995,3952870000
7/9/2012,1432.119995,1437.920044,1431.449951,1437.920044,1437.920044,3717620000
10/9/2012,1437.920044,1438.73999,1428.97998,1429.079956,1429.079956,3223670000
11/9/2012,1429.130005,1437.76001,1429.130005,1433.560059,1433.560059,3509630000
12/9/2012,1433.560059,1439.150024,1432.98999,1436.560059,1436.560059,3641200000
13/9/2012,1436.560059,1463.76001,1435.339966,1459.98999,1459.98999,4606550000
